order_id,plant_id,supplier_id,material_id,order_date,expected_delivery_date,quantity,status,updated_at_order,delivery_id,delivery_date,delivered_quantity,delivery_status,updated_at_delivery,delivery_delay_days,on_time_flag,has_delivery,order_day
ORD101836,SH01,SUP017,MAT0025,2024-02-14 15:56:50,2024-02-22,91,CREATED,2024-02-15 20:56:50,DEL500033,2024-02-21 13:07:00,96.0,DELIVERED,2024-02-19 05:56:50,-1.0,1,1,2024-02-14
ORD100097,NJ02,SUP009,MAT0077,2024-01-03 13:13:22,2024-01-09,111,CONFIRMED,2024-01-04 06:13:22,DEL500034,2024-01-08 11:16:00,122.0,ON_TIME,2024-01-05 12:13:22,-1.0,1,1,2024-01-03
ORD101670,NJ01,SUP020,MAT0061,2024-02-10 07:54:56,2024-02-20,85,CONFIRMED,2024-02-11 16:54:56,,,,,,,0,0,2024-02-10
ORD100370,NJ01,SUP015,MAT0027,2024-01-10 14:11:43,2024-01-20,91,OPEN,2024-01-11 08:11:43,,,,,,,0,0,2024-01-10
ORD100169,SH01,SUP011,MAT0003,2024-01-05 11:50:50,2024-01-10,131,CREATED,2024-01-06 03:50:50,DEL500035,2024-01-09 11:32:00,153.0,DELIVERED,2024-01-08 00:50:50,-1.0,1,1,2024-01-05
ORD102056,NJ01,SUP004,MAT0026,2024-02-20 08:39:19,2024-02-28,177,CONFIRMED,2024-02-21 04:39:19,,,,,,,0,0,2024-02-20
ORD101420,NJ02,SUP002,MAT0002,2024-02-04 08:26:57,2024-02-10,139,OPEN,2024-02-04 22:26:57,DEL500036,2024-02-12 14:13:00,131.0,DELIVERED,2024-02-06 20:26:57,2.0,0,1,2024-02-04
ORD101906,SH01,SUP004,MAT0012,2024-02-16 09:13:49,2024-02-24,164,CREATED,2024-02-17 17:13:49,,,,,,,0,0,2024-02-16
ORD101225,SH01,SUP011,MAT0055,2024-01-30 15:02:29,2024-02-09,162,OPEN,2024-01-31 20:02:29,,,,,,,0,0,2024-01-30
ORD102069,SH01,SUP003,MAT0024,2024-02-20 06:45:08,2024-02-25,30,CREATED,2024-02-22 03:45:08,DEL500038,2024-02-26 14:57:00,14.0,ON_TIME,2024-02-29 11:45:08,1.0,0,1,2024-02-20
ORD100445,NJ02,,MAT0043,2024-01-12 12:01:14,2024-01-22,116,CREATED,2024-01-14 12:01:14,DEL500039,2024-01-21 09:36:00,149.0,ON_TIME,2024-01-19 11:01:14,-1.0,1,1,2024-01-12
ORD101401,NJ01,SUP011,MAT0007,2024-02-03 11:17:22,2024-02-11,114,CREATED,2024-02-03 13:17:22,,,,,,,0,0,2024-02-03
ORD100676,NJ01,SUP007,MAT0064,2024-01-18 09:57:36,2024-01-24,141,CONFIRMED,2024-01-18 21:57:36,DEL500040,2024-01-23 10:48:00,161.0,LATE,2024-01-23 02:57:36,-1.0,1,1,2024-01-18
ORD101218,SH01,SUP019,MAT0063,2024-01-30 18:17:55,2024-02-03,93,CREATED,2024-02-01 16:17:55,DEL500041,2024-02-03 15:43:00,92.0,DELIVERED,2024-02-06 18:17:55,0.0,1,1,2024-01-30
ORD100132,NJ02,SUP017,MAT0035,2024-01-04 18:50:54,2024-01-12,174,CREATED,2024-01-05 12:50:54,DEL500042,2024-01-11 18:01:00,202.0,LATE,2024-01-15 11:50:54,-1.0,1,1,2024-01-04
ORD100777,NJ01,SUP009,MAT0050,2024-01-20 10:15:32,2024-01-26,118,CREATED,2024-01-21 21:15:32,DEL500043,2024-01-26 14:30:00,116.0,DELIVERED,2024-01-28 01:15:32,0.0,1,1,2024-01-20
ORD101170,NJ02,SUP003,MAT0051,2024-01-29 17:34:36,2024-02-01,127,CONFIRMED,2024-01-30 00:34:36,DEL500044,2024-02-01 20:50:00,137.0,DELIVERED,2024-02-05 17:34:36,0.0,1,1,2024-01-29
ORD101666,NJ01,SUP010,MAT0020,2024-02-10 15:01:10,2024-02-17,111,CONFIRMED,2024-02-10 16:01:10,DEL500046,2024-02-17 08:25:00,116.0,DELIVERED,2024-02-12 15:01:10,0.0,1,1,2024-02-10
ORD101317,SH01,SUP007,MAT0019,2024-02-02 07:46:24,2024-02-08,112,CONFIRMED,2024-02-03 19:46:24,DEL500047,2024-02-09 17:16:00,116.0,LATE,2024-02-12 11:46:24,1.0,0,1,2024-02-02
ORD102015,SH01,SUP001,MAT0054,2024-02-19 17:58:17,2024-02-27,116,OPEN,2024-02-20 17:58:17,DEL500048,2024-02-27 08:36:00,109.0,DELIVERED,2024-02-26 11:58:17,0.0,1,1,2024-02-19
ORD101242,NJ02,SUP007,MAT0030,2024-01-31 08:12:04,2024-02-08,81,OPEN,2024-02-02 02:12:04,DEL500049,2024-02-08 15:37:00,97.0,ON_TIME,2024-02-05 15:12:04,0.0,1,1,2024-01-31
ORD101506,SH01,SUP013,MAT0025,2024-02-06 08:36:27,2024-02-11,182,CONFIRMED,2024-02-08 01:36:27,DEL500050,2024-02-10 19:34:00,192.0,DELIVERED,2024-02-09 12:36:27,-1.0,1,1,2024-02-06
ORD100108,NJ01,SUP005,MAT0073,2024-01-03 12:31:04,2024-01-05,52,OPEN,2024-01-03 17:31:04,,,,,,,0,0,2024-01-03
ORD100079,NJ02,SUP001,MAT0046,2024-01-03 17:01:54,2024-01-11,132,OPEN,2024-01-05 17:01:54,DEL500051,2024-01-11 16:44:00,147.0,DELIVERED,2024-01-13 06:01:54,0.0,1,1,2024-01-03
ORD102266,NJ01,SUP020,MAT0022,2024-02-25 12:54:15,2024-03-02,135,OPEN,2024-02-25 22:54:15,,,,,,,0,0,2024-02-25
ORD101911,SH01,SUP013,MAT0061,2024-02-16 16:19:14,2024-02-19,45,CREATED,2024-02-17 09:19:14,DEL500052,2024-02-18 17:08:00,49.0,DELIVERED,2024-02-27 02:19:14,-1.0,1,1,2024-02-16
ORD101863,NJ01,SUP017,MAT0039,2024-02-15 17:53:58,2024-02-18,80,CREATED,2024-02-16 06:53:58,,,,,,,0,0,2024-02-15
ORD100425,NJ02,SUP018,MAT0023,2024-01-11 12:55:53,2024-01-19,122,OPEN,2024-01-11 16:55:53,DEL500053,2024-01-19 17:05:00,108.0,DELIVERED,2024-01-18 02:55:53,0.0,1,1,2024-01-11
ORD101726,NJ02,SUP012,MAT0062,2024-02-11 15:01:25,2024-02-16,195,CONFIRMED,2024-02-11 21:01:25,DEL500054,2024-02-16 18:41:00,220.0,LATE,2024-02-14 02:01:25,0.0,1,1,2024-02-11
ORD100196,SH01,SUP015,MAT0047,2024-01-05 12:01:20,2024-01-09,132,CREATED,2024-01-06 15:01:20,,,,,,,0,0,2024-01-05
ORD102261,NJ02,SUP005,MAT0013,2024-02-25 18:14:56,2024-03-01,134,CONFIRMED,2024-02-27 04:14:56,DEL500055,2024-02-29 13:30:00,130.0,DELIVERED,2024-03-06 18:14:56,-1.0,1,1,2024-02-25
ORD102375,SH01,SUP018,MAT0012,2024-02-28 14:35:05,2024-03-06,119,OPEN,2024-02-29 06:35:05,,,,,,,0,0,2024-02-28
ORD100211,NJ02,SUP003,MAT0075,2024-01-06 12:18:16,2024-01-10,92,CONFIRMED,2024-01-06 21:18:16,DEL500056,2024-01-14 11:24:00,97.0,DELIVERED,2024-01-16 14:18:16,4.0,0,1,2024-01-06
ORD102398,SH01,SUP010,MAT0022,2024-02-29 07:09:44,2024-03-08,99,CONFIRMED,2024-03-01 19:09:44,DEL500057,2024-03-07 14:39:00,108.0,ON_TIME,2024-03-08 19:09:44,-1.0,1,1,2024-02-29
ORD100177,NJ02,SUP014,MAT0013,2024-01-05 09:26:21,2024-01-14,89,OPEN,2024-01-06 12:26:21,DEL500058,2024-01-19 13:32:00,94.0,LATE,2024-01-08 13:26:21,5.0,0,1,2024-01-05
ORD100771,SH01,SUP020,MAT0035,2024-01-20 08:03:18,2024-01-25,135,CREATED,2024-01-21 13:03:18,DEL500059,2024-01-24 18:02:00,148.0,ON_TIME,2024-01-27 05:03:18,-1.0,1,1,2024-01-20
ORD100144,NJ01,SUP006,MAT0011,2024-01-04 14:26:36,2024-01-08,73,CONFIRMED,2024-01-05 14:26:36,DEL500060,2024-01-08 17:40:00,89.0,DELIVERED,2024-01-10 15:26:36,0.0,1,1,2024-01-04
ORD100393,SH01,SUP017,MAT0064,2024-01-11 13:08:12,2024-01-19,121,OPEN,2024-01-13 08:08:12,DEL500061,2024-01-22 19:24:00,117.0,LATE,2024-01-21 23:08:12,3.0,0,1,2024-01-11
ORD102236,NJ02,SUP017,MAT0053,2024-02-25 17:53:47,2024-03-04,180,CREATED,2024-02-27 01:53:47,DEL500062,2024-03-04 17:07:00,204.0,DELIVERED,2024-03-02 10:53:47,0.0,1,1,2024-02-25
ORD100240,NJ02,SUP017,MAT0035,2024-01-07 08:31:44,2024-01-16,103,CREATED,2024-01-09 06:31:44,DEL500063,2024-01-19 11:16:00,98.0,DELIVERED,2024-01-16 20:31:44,3.0,0,1,2024-01-07
ORD101853,SH01,SUP017,MAT0067,2024-02-15 15:00:16,2024-02-22,175,OPEN,2024-02-16 21:00:16,DEL500064,2024-02-22 12:52:00,180.0,ON_TIME,2024-02-20 20:00:16,0.0,1,1,2024-02-15
ORD101834,SH01,SUP019,MAT0053,2024-02-14 15:39:32,2024-02-17,112,CREATED,2024-02-15 11:39:32,DEL500065,2024-02-17 17:34:00,106.0,ON_TIME,2024-02-20 03:39:32,0.0,1,1,2024-02-14
ORD101955,NJ01,SUP020,MAT0014,2024-02-17 14:55:59,2024-02-25,114,CONFIRMED,2024-02-19 07:55:59,,,,,,,0,0,2024-02-17
ORD102095,NJ02,SUP019,MAT0061,2024-02-21 15:39:15,2024-02-26,172,CREATED,2024-02-22 11:39:15,,,,,,,0,0,2024-02-21
ORD102404,NJ02,SUP010,MAT0053,2024-02-29 06:42:05,2024-03-09,136,OPEN,2024-03-01 00:42:05,DEL500067,2024-03-08 09:34:00,151.0,DELIVERED,2024-03-08 11:42:05,-1.0,1,1,2024-02-29
ORD102432,SH01,SUP002,MAT0015,2024-02-29 14:53:16,2024-03-06,119,CREATED,2024-03-01 09:53:16,,,,,,,0,0,2024-02-29
ORD100690,NJ02,SUP004,MAT0021,2024-01-18 14:54:36,2024-01-20,181,CREATED,2024-01-19 03:54:36,DEL500068,2024-01-20 13:37:00,227.0,DELIVERED,2024-01-23 00:54:36,0.0,1,1,2024-01-18
ORD100754,SH01,SUP010,MAT0005,2024-01-20 13:52:57,2024-01-23,154,CONFIRMED,2024-01-22 01:52:57,DEL500069,2024-01-26 08:14:00,148.0,ON_TIME,2024-01-23 06:52:57,3.0,0,1,2024-01-20
ORD100623,NJ02,SUP012,MAT0040,2024-01-17 11:56:30,2024-01-26,74,OPEN,2024-01-18 22:56:30,DEL500070,2024-01-26 17:31:00,92.0,ON_TIME,2024-01-22 23:56:30,0.0,1,1,2024-01-17
ORD102135,NJ02,SUP009,MAT0003,2024-02-22 17:15:29,2024-03-03,70,CONFIRMED,2024-02-24 05:15:29,,,,,,,0,0,2024-02-22
ORD102276,NJ01,SUP008,MAT0060,2024-02-26 18:54:19,2024-03-04,117,CREATED,2024-02-28 15:54:19,DEL500071,2024-03-03 19:31:00,112.0,DELIVERED,2024-03-03 01:54:19,-1.0,1,1,2024-02-26
ORD102175,SH01,SUP006,MAT0026,2024-02-23 07:01:10,2024-02-26,98,OPEN,2024-02-25 01:01:10,DEL500072,2024-02-26 17:57:00,97.0,ON_TIME,2024-03-04 09:01:10,0.0,1,1,2024-02-23
ORD100515,NJ01,SUP016,MAT0076,2024-01-14 09:23:31,2024-01-23,129,CONFIRMED,2024-01-15 07:23:31,,,,,,,0,0,2024-01-14
ORD101485,NJ02,SUP009,MAT0023,2024-02-06 09:55:01,2024-02-14,162,CREATED,2024-02-06 18:55:01,DEL500073,2024-02-13 09:03:00,188.0,DELIVERED,2024-02-16 07:55:01,-1.0,1,1,2024-02-06
ORD101421,NJ01,SUP018,MAT0075,2024-02-04 17:17:11,2024-02-10,58,CREATED,2024-02-06 15:17:11,DEL500075,2024-02-09 08:20:00,37.0,DELIVERED,2024-02-08 20:17:11,-1.0,1,1,2024-02-04
ORD100898,SH01,SUP013,MAT0014,2024-01-23 12:42:12,2024-01-29,157,CONFIRMED,2024-01-25 08:42:12,DEL500076,2024-01-29 20:26:00,155.0,LATE,2024-02-01 15:42:12,0.0,1,1,2024-01-23
ORD101275,NJ01,SUP005,MAT0048,2024-02-01 12:48:15,2024-02-04,120,OPEN,2024-02-02 06:48:15,DEL500077,2024-02-03 07:01:00,129.0,ON_TIME,2024-02-06 16:48:15,-1.0,1,1,2024-02-01
ORD101912,NJ01,SUP005,MAT0032,2024-02-16 17:41:57,2024-02-23,229,CREATED,2024-02-18 05:41:57,DEL500079,2024-02-23 18:37:00,234.0,ON_TIME,2024-02-25 10:41:57,0.0,1,1,2024-02-16
ORD102370,SH01,SUP001,MAT0026,2024-02-28 10:20:16,2024-03-04,117,OPEN,2024-02-29 04:20:16,DEL500080,2024-03-06 19:30:00,117.0,DELIVERED,2024-03-04 21:20:16,2.0,0,1,2024-02-28
ORD100796,NJ01,SUP006,MAT0075,2024-01-21 16:28:05,2024-01-31,129,CONFIRMED,2024-01-23 02:28:05,DEL500081,2024-02-05 15:54:00,140.0,DELIVERED,2024-01-28 21:28:05,5.0,0,1,2024-01-21
ORD100284,SH01,SUP002,MAT0018,2024-01-08 09:26:32,2024-01-17,102,CONFIRMED,2024-01-08 22:26:32,,,,,,,0,0,2024-01-08
ORD100023,NJ01,SUP002,MAT0031,2024-01-01 07:59:23,2024-01-07,70,CONFIRMED,2024-01-01 12:59:23,,,,,,,0,0,2024-01-01
ORD101319,NJ01,SUP015,MAT0015,2024-02-02 16:35:55,2024-02-11,56,OPEN,2024-02-04 10:35:55,DEL500082,2024-02-15 13:03:00,12.0,DELIVERED,2024-02-13 08:35:55,4.0,0,1,2024-02-02
ORD101730,NJ01,SUP011,MAT0073,2024-02-11 17:21:53,2024-02-15,121,CONFIRMED,2024-02-12 19:21:53,DEL500083,2024-02-20 14:17:00,109.0,DELIVERED,2024-02-14 21:21:53,5.0,0,1,2024-02-11
ORD100525,NJ02,SUP013,MAT0050,2024-01-14 16:31:18,2024-01-20,155,CONFIRMED,2024-01-14 18:31:18,DEL500084,2024-01-19 18:57:00,153.0,DELIVERED,2024-01-24 12:31:18,-1.0,1,1,2024-01-14
ORD100199,NJ02,SUP005,MAT0031,2024-01-05 09:57:49,2024-01-12,156,CREATED,2024-01-05 18:57:49,DEL500085,2024-01-11 19:55:00,166.0,DELIVERED,2024-01-15 18:57:49,-1.0,1,1,2024-01-05
ORD101830,SH01,SUP018,MAT0069,2024-02-14 16:48:40,2024-02-21,147,OPEN,2024-02-15 06:48:40,DEL500086,2024-02-21 08:51:00,169.0,LATE,2024-02-20 16:48:40,0.0,1,1,2024-02-14
ORD102097,NJ01,SUP015,MAT0050,2024-02-21 13:29:38,2024-02-27,91,CONFIRMED,2024-02-22 06:29:38,DEL500087,2024-02-28 07:09:00,77.0,DELIVERED,2024-02-28 09:29:38,1.0,0,1,2024-02-21
ORD102314,NJ01,SUP010,MAT0018,2024-02-27 12:18:02,2024-03-01,114,CONFIRMED,2024-02-28 04:18:02,DEL500088,2024-03-01 08:15:00,135.0,DELIVERED,2024-02-29 22:18:02,0.0,1,1,2024-02-27
ORD101217,NJ01,SUP011,MAT0032,2024-01-30 09:54:34,2024-02-05,121,CREATED,2024-02-01 01:54:34,,,,,,,0,0,2024-01-30
ORD100036,NJ01,SUP013,MAT0001,2024-01-01 09:55:25,2024-01-03,127,IN_PROGRESS,2024-01-02 01:55:25,DEL500089,2024-01-02 14:02:00,120.0,ON_TIME,2024-01-06 05:55:25,-1.0,1,1,2024-01-01
ORD101743,NJ02,SUP014,MAT0075,2024-02-12 06:59:12,2024-02-18,122,CONFIRMED,2024-02-13 01:59:12,DEL500090,2024-02-18 17:06:00,120.0,DELIVERED,2024-02-17 15:59:12,0.0,1,1,2024-02-12
ORD100649,SH01,SUP014,MAT0048,2024-01-17 18:43:41,2024-01-25,123,CREATED,2024-01-19 14:43:41,,,,,,,0,0,2024-01-17
ORD101302,SH01,SUP014,MAT0022,2024-02-01 14:26:41,2024-02-07,172,CREATED,2024-02-02 13:26:41,DEL500091,2024-02-06 09:31:00,180.0,DELIVERED,2024-02-09 04:26:41,-1.0,1,1,2024-02-01
ORD100256,NJ02,SUP015,MAT0067,2024-01-07 08:20:41,2024-01-10,6,OPEN,2024-01-07 16:20:41,,,,,,,0,0,2024-01-07
ORD102390,NJ02,SUP010,MAT0022,2024-02-29 09:20:23,2024-03-02,92,CONFIRMED,2024-03-01 09:20:23,DEL500092,2024-03-01 17:26:00,88.0,DELIVERED,2024-03-01 13:20:23,-1.0,1,1,2024-02-29
ORD102345,NJ01,SUP010,MAT0033,2024-02-28 06:04:36,2024-03-02,100,CREATED,2024-03-01 06:04:36,DEL500093,2024-03-02 12:18:00,116.0,DELIVERED,2024-03-01 22:04:36,0.0,1,1,2024-02-28
ORD100232,SH01,SUP001,MAT0050,2024-01-06 14:34:32,2024-01-16,126,OPEN,2024-01-06 16:34:32,DEL500094,2024-01-21 19:52:00,119.0,DELIVERED,2024-01-09 20:34:32,5.0,0,1,2024-01-06
ORD101451,NJ01,SUP001,MAT0073,2024-02-04 11:09:05,2024-02-09,152,OPEN,2024-02-04 20:09:05,,,,,,,0,0,2024-02-04
ORD102372,NJ01,SUP018,MAT0062,2024-02-28 06:14:47,2024-03-09,108,CONFIRMED,2024-02-29 23:14:47,DEL500095,2024-03-09 17:19:00,102.0,ON_TIME,2024-03-01 07:14:47,0.0,1,1,2024-02-28
ORD100269,NJ02,SUP017,MAT0060,2024-01-08 11:12:48,2024-01-12,126,OPEN,2024-01-09 06:12:48,DEL500096,2024-01-12 15:15:00,141.0,LATE,2024-01-14 02:12:48,0.0,1,1,2024-01-08
