delivery_id,order_id,delivery_date,delivered_quantity,delivery_status,updated_at
DEL500725,ORD101453,2024-02-11 20:07:00,80,DELIVERED,2024-02-08 17:21:28
DEL500947,ORD100810,2024-02-02 09:11:00,81,Delivered,2024-01-30 07:49:19
DEL500552,ORD100073,2024-01-09 07:25:00,148,Late,2024-01-09 07:35:38
DEL501435,ORD101432,2024-02-09 17:44:00,183,Late,2024-02-09 10:30:09
DEL501886,ORD101734,2024-02-15 19:03:00,54,Complete,2024-02-23 04:10:33
DEL501367,ORD102386,2024-03-08 12:40:00,102,Delivered,2024-03-03 14:02:20
DEL500200,ORD101040,2024-02-04 19:47:00,96,Late,2024-01-29 17:24:51
DEL500241,ORD100752,2024-01-25 20:27:00,112,Complete,2024-01-23 16:16:23
DEL501618,ORD101957,2024-02-28 12:51:00,122,On Time,2024-02-22 06:26:52
DEL500745,ORD101675,2024-02-13 15:04:00,77,DELIVERED,2024-02-11 15:52:52
DEL501629,ORD101169,2024-02-03 11:49:00,142,On Time,2024-02-02 03:22:53
DEL501832,ORD100406,2024-01-22 07:58:00,154,Late,2024-01-16 06:32:47
DEL500445,ORD100475,2024-01-22 11:26:00,76,Late,2024-01-17 17:49:07
DEL500766,ORD100646,2024-01-19 10:57:00,131,On Time,2024-01-25 11:08:06
DEL501584,ORD101045,2024-02-02 16:56:00,93,Late,2024-02-02 07:19:40
DEL500425,ORD100954,2024-01-31 19:45:00,47,Late,2024-02-03 20:28:16
DEL501723,ORD100210,2024-01-13 20:21:00,174,Complete,2024-01-09 21:50:40
DEL501730,ORD102000,2024-02-25 15:08:00,114,Late,2024-02-28 07:35:04
DEL500272,ORD101767,2024-02-24 12:59:00,45,DELIVERED,2024-02-15 04:22:07
DEL501537,ORD101494,2024-02-14 10:14:00,82,Complete,2024-02-15 11:49:10
DEL501198,ORD100369,2024-01-18 20:11:00,202,Late,2024-01-13 01:24:17
DEL500495,ORD102310,2024-03-04 14:56:00,90,Delivered,2024-03-04 05:12:00
DEL501942,ORD100031,2024-01-07 18:34:00,196,Complete,2024-01-04 11:42:27
DEL501080,ORD102395,2024-03-05 14:43:00,112,Delivered,2024-03-06 18:47:00
DEL501773,ORD101153,2024-02-04 18:04:00,163,DELIVERED,2024-02-04 02:36:40
DEL500314,ORD101838,2024-02-16 07:00:00,176,Late,2024-02-20 07:04:57
DEL501023,ORD101449,2024-02-12 08:54:00,106,On Time,2024-02-14 00:07:44
DEL501112,ORD101879,2024-02-22 13:56:00,121,Complete,2024-02-19 06:26:00
DEL500825,ORD100044,2024-01-07 20:49:00,86,Complete,2024-01-08 09:04:34
DEL501156,ORD100002,2024-01-10 10:42:00,135,On Time,2024-01-03 05:47:57
DEL501754,ORD100087,2024-01-07 09:01:00,142,DELIVERED,2024-01-07 08:53:01
DEL501831,ORD100273,2024-01-17 17:38:00,125,Complete,2024-01-15 12:25:03
DEL501111,ORD101751,2024-02-18 19:54:00,108,Complete,2024-02-15 07:30:22
DEL501352,ORD100915,2024-01-27 13:30:00,160,Delivered,2024-02-01 21:35:15
DEL501768,ORD100419,2024-01-19 16:41:00,60,DELIVERED,2024-01-20 02:58:26
DEL501510,ORD100013,2024-01-10 20:40:00,13,Delivered,2024-01-06 12:49:03
DEL500443,ORD100156,2024-01-12 13:43:00,82,DELIVERED,2024-01-12 18:55:43
DEL501094,ORD100007,2024-01-09 08:35:00,137,Complete,2024-01-07 11:02:46
DEL500451,ORD101807,2024-02-27 17:52:00,118,On Time,2024-02-23 05:26:01
DEL500343,ORD100561,2024-01-25 20:13:00,79,Delivered,2024-01-25 02:49:47
DEL500576,ORD102094,2024-02-25 14:23:00,-117,On Time,2024-02-24 05:50:21
DEL500930,ORD100346,2024-01-17 20:54:00,131,Delivered,2024-01-14 18:25:29
DEL500868,ORD101984,2024-02-24 12:13:00,57,On Time,2024-02-25 14:43:19
DEL500878,ORD100257,2024-01-12 15:27:00,119,Complete,2024-01-18 02:35:40
DEL501989,ORDX1016,2024-02-29 03:38:27,47,Complete,2024-01-08 00:13:04
DEL501325,ORD101516,2024-02-07 18:18:00,118,Late,2024-02-11 01:06:31
DEL500672,ORD101406,2024-02-08 20:12:00,150,Complete,2024-02-07 17:37:24
DEL500135,ORD101331,2024-02-08 19:44:00,83,On Time,2024-02-10 14:44:07
DEL501474,ORD101980,2024-02-26 18:18:00,166,Complete,2024-02-28 13:39:28
DEL501786,ORD100896,2024-01-28 15:17:00,125,DELIVERED,2024-02-01 18:21:43
DEL501783,ORD101076,2024-01-31 20:40:00,187,Delivered,2024-01-30 11:52:17
DEL500612,ORD101797,2024-02-15 20:32:00,104,Delivered,2024-02-15 01:52:30
DEL501206,ORD100989,2024-01-27 15:12:00,134,Complete,2024-02-05 00:04:19
DEL501085,ORD101638,2024-02-17 18:02:00,178,On Time,2024-02-18 22:18:02
DEL500040,ORD100676,2024-01-23 10:48:00,161,Late,2024-01-23 02:57:36
DEL500500,ORD100159,2024-01-07 14:20:00,94,DELIVERED,2024-01-09 02:14:41
DEL501342,ORD101603,2024-02-14 12:44:00,166,Complete,2024-02-11 22:24:44
DEL500724,ORD100572,2024-01-17 08:05:00,108,Complete,2024-01-16 11:44:06
DEL501037,ORD102150,2024-02-27 15:26:00,102,On Time,2024-02-29 18:21:31
DEL501869,ORD101564,2024-02-12 07:14:00,174,DELIVERED,2024-02-16 18:54:58
DEL500035,ORD100169,2024-01-09 11:32:00,153,Delivered,2024-01-08 00:50:50
DEL501453,ORD100405,2024-01-19 10:24:00,118,On Time,2024-01-21 16:17:40
DEL501424,ORD102305,2024-03-07 07:08:00,59,Late,2024-03-06 19:51:12
DEL501601,ORD102181,2024-03-03 20:05:00,132,On Time,2024-03-04 23:11:24
DEL500478,ORD102167,2024-02-24 17:51:00,182,DELIVERED,2024-02-27 11:54:10
DEL501395,ORD100756,2024-01-21 09:51:00,85,Complete,2024-01-23 16:14:47
DEL501063,ORD101212,2024-02-07 12:52:00,101,Complete,2024-02-09 04:12:01
DEL500580,ORD100138,2024-01-07 10:16:00,179,Complete,2024-01-14 23:09:26
DEL500915,ORD100340,2024-01-16 15:29:00,92,Late,2024-01-18 11:03:33
DEL500799,ORD102199,2024-03-02 19:45:00,176,Delivered,2024-02-27 22:59:36
DEL501006,ORD100285,2024-01-21 18:32:00,85,Delivered,2024-01-16 02:20:42
DEL501655,ORD100268,2024-01-20 11:06:00,131,Late,2024-01-17 16:18:24
DEL501891,ORD100686,2024-01-26 20:39:00,63,DELIVERED,2024-01-27 15:23:23
DEL501139,ORD101558,2024-02-14 10:14:00,71,DELIVERED,2024-02-14 14:25:11
DEL501018,ORD100003,2024-01-11 16:16:00,172,Late,2024-01-03 11:13:14
DEL501390,ORD101247,2024-02-02 11:21:00,148,Delivered,2024-02-04 06:17:12
DEL501432,ORD101664,2024-02-18 12:50:00,155,DELIVERED,2024-02-13 12:36:23
DEL500022,ORD100185,2024-01-11 08:18:00,60,On Time,2024-01-08 09:58:21
DEL500076,ORD100898,2024-01-29 20:26:00,155,Late,2024-02-01 15:42:12
DEL501214,ORD102392,2024-03-11 17:16:00,96,Complete,2024-03-09 02:26:38
DEL500935,ORD102033,2024-02-27 15:30:00,139,DELIVERED,2024-02-24 02:18:43
DEL501351,ORD101467,2024-02-09 14:26:00,86,Complete,2024-02-08 07:56:40
DEL501374,ORD100457,2024-01-20 11:25:00,100,On Time,2024-01-19 03:15:06
DEL500439,ORD100261,2024-01-14 14:12:00,49, delivered ,2024-01-18 07:42:39
DEL501446,ORD101585,2024-02-20 18:18:00,165,Delivered,2024-02-12 14:19:11
DEL501847,ORD100691,2024-01-21 11:02:00,60,Complete,2024-01-26 09:30:53
DEL500599,ORD101992,2024-02-23 08:29:00,56,Delivered,2024-02-25 18:06:33
DEL501054,ORD100878,2024-01-31 08:36:00,103,Late,2024-01-26 00:24:30
DEL500775,ORD101008,2024-02-03 14:06:00,131,Delivered,2024-01-28 08:33:49
DEL501073,ORD102068,2024-03-04 07:58:00,78,Late,2024-02-28 06:37:40
DEL501255,ORD102223,2024-02-28 09:08:00,132,DELIVERED,2024-02-27 06:05:45
DEL500840,ORD100762,2024-01-25 19:26:00,72,Delivered,2024-01-22 08:41:36
DEL501574,ORD102049,2024-02-25 18:56:00,53,Delivered,2024-02-24 10:09:13
DEL500455,ORD102007,2024-02-29 11:17:00,93,completed,2024-02-26 16:19:57
DEL500879,ORD101590,2024-02-15 07:13:00,117,On Time,2024-02-19 15:08:39
DEL500777,ORD100303,2024-01-13 08:18:00,108,Complete,2024-01-18 00:15:28
DEL500594,ORD100708,2024-01-27 18:32:00,116,On Time,2024-01-25 09:00:44
DEL501110,ORD101708,2024-02-19 20:25:00,146,Delivered,2024-02-17 02:08:49
DEL501373,ORD100195,2024-01-16 07:44:00,56,Complete,2024-01-14 05:55:20
DEL500256,ORD101913,2024-02-19 13:50:00,143,Delivered,2024-02-21 07:08:33
DEL501246,ORD100744,2024-01-25 18:31:00,212,Delivered,2024-01-29 17:40:36
DEL500185,ORD101324,2024-02-15 15:14:00,120,Complete,2024-02-09 22:24:58
DEL501480,ORD101978,2024-02-24 12:16:00,125,Delivered,2024-02-23 16:30:34
DEL500007,ORD102431,2024-03-11 10:06:00,48,DELIVERED,2024-03-04 16:31:40
DEL501176,ORD101095,2024-02-08 17:45:00,155,On Time,2024-01-30 15:51:16
DEL500852,ORD101701,2024-02-14 18:45:00,120,Complete,2024-02-14 13:31:18
DEL500909,ORD101784,2024-02-20 11:37:00,71,Delivered,2024-02-16 23:49:17
DEL501991,ORDX1018,2024-02-24 00:57:06,73,Complete,2024-02-29 02:49:03
DEL500893,ORD100398,2024-01-16 17:41:00,121,Late,2024-01-16 14:06:47
DEL501753,ORD100655,2024-01-22 08:44:00,59,Delivered,2024-01-21 08:37:16
DEL500223,ORD102257,2024-03-03 07:48:00,190,On Time,2024-02-26 17:35:56
DEL501227,ORD100750,2024-02-01 16:10:00,170,On Time,2024-01-27 18:13:54
DEL500129,ORD100302,2024-01-11 12:13:00,117,On Time,2024-01-10 13:06:11
DEL501111,ORD101751,2024-02-18 19:54:00,108,Complete,2024-02-15 07:30:22
DEL500036,ORD101420,2024-02-12 14:13:00,131,Complete,2024-02-06 20:26:57
DEL501060,ORD102031,2024-02-21 13:59:00,-123,DELIVERED,2024-02-23 10:24:00
DEL501691,ORD102183,2024-03-03 10:00:00,165,On Time,2024-03-03 08:15:40
DEL501796,ORD101471,2024-02-15 17:36:00,150,Late,2024-02-16 08:36:40
DEL501690,ORD100573,2024-01-21 08:07:00,76,DELIVERED,2024-01-23 22:26:06
DEL501593,ORD100774,2024-01-30 18:00:00,95,Delivered,2024-01-27 05:31:55
DEL501843,ORD101363,2024-02-12 08:28:00,44,On Time,2024-02-14 07:58:21
DEL501217,ORD102061,2024-02-22 17:14:00,84,Late,2024-03-01 00:08:55
DEL501514,ORD102379,2024-02-29 10:59:00,112,Complete,2024-03-05 09:54:21
DEL500101,ORD102342,2024-03-07 13:57:00,145,On Time,2024-03-03 09:10:30
DEL501550,ORD101968,2024-02-23 17:42:00,129,Late,2024-02-23 15:25:39
DEL501909,ORD101976,2024-02-23 09:04:00,70,On Time,2024-02-27 15:23:57
DEL501041,ORD100315,2024-01-13 07:38:00,179,Complete,2024-01-11 16:26:11
DEL500448,ORD101673,2024-02-17 11:37:00,49,Late,2024-02-16 00:15:28
DEL501378,ORD102126,2024-03-01 15:12:00,42,Complete,2024-03-02 08:36:56
DEL500933,ORD100668,2024-01-24 08:31:00,138,Complete,2024-01-19 22:22:22
DEL501892,ORD101535,2024-02-14 11:44:00,55,Delivered,2024-02-11 15:28:10
DEL500895,ORD101183,2024-02-07 09:00:00,100,On Time,2024-01-31 07:54:14
DEL501782,ORD101149,2024-02-05 10:26:00,124,On Time,2024-02-02 11:36:28
DEL501561,ORD101981,2024-02-20 11:45:00,120,DELIVERED,2024-02-23 12:28:35
DEL500193,ORD102155,2024-02-25 13:01:00,191,On Time,2024-02-24 09:13:11
DEL501032,ORD100987,2024-01-31 14:22:00,111,Delivered,2024-01-28 16:05:27
DEL501793,ORD102366,2024-03-06 15:31:00,92,DELIVERED,2024-03-06 02:53:57
DEL500374,ORD100625,2024-01-19 14:21:00,175,Late,2024-01-25 11:56:40
DEL501296,ORD102029,2024-02-29 13:33:00,171,Complete,2024-02-27 01:04:26
DEL500501,ORD100808,2024-01-24 13:22:00,114,On Time,2024-01-23 19:19:21
DEL500506,ORD102037,2024-02-27 13:04:00,104,Complete,2024-02-26 09:54:14
DEL501696,ORD102277,2024-02-27 08:32:00,88,Late,2024-03-07 15:02:05
DEL501479,ORD102024,2024-02-24 18:12:00,116,Late,2024-02-20 21:12:49
DEL501150,ORD101257,2024-02-10 09:18:00,139,Late,2024-02-06 17:58:08
DEL501567,ORD101533,2024-02-09 20:08:00,86,Delivered,2024-02-12 03:38:56
DEL500388,ORD102303,2024-02-28 20:43:00,63,Late,2024-02-27 21:28:21
DEL501503,ORD100407,2024-01-14 11:00:00,121,Late,2024-01-19 12:00:55
DEL500389,ORD100099,2024-01-12 20:41:00,106,Delivered,2024-01-13 07:15:44
DEL500125,ORD101753,2024-02-18 20:43:00,142,Late,2024-02-20 03:44:50
DEL501095,ORD102114,2024-02-25 07:29:00,-182,DELIVERED,2024-02-26 23:01:03
DEL500801,ORD101205,2024-02-06 11:54:00,63,DELIVERED,2024-02-06 22:44:29
DEL501388,ORD100833,2024-01-26 11:40:00,167,Complete,2024-01-22 18:12:12
DEL501039,ORD100201,2024-01-15 07:56:00,141,On Time,2024-01-11 21:48:36
DEL501211,ORD101761,2024-02-19 14:35:00,107,Delivered,2024-02-23 17:09:45
DEL501427,ORD100117,2024-01-09 16:49:00,174,DELIVERED,2024-01-09 06:52:36
DEL501846,ORD101612,2024-02-12 17:25:00,137,Delivered,2024-02-10 11:54:46
DEL500360,ORD101515,2024-02-09 20:26:00,125,Late,2024-02-15 08:18:16
DEL500397,ORD101649,2024-02-15 09:58:00,122,Delivered,2024-02-14 21:57:21
DEL501416,ORD100367,2024-01-14 12:01:00,165,Late,2024-01-14 08:27:52
DEL500851,ORD100347,2024-01-11 13:35:00,74,On Time,2024-01-11 00:54:41
DEL501220,ORD101821,2024-02-22 18:49:00,161,Delivered,2024-02-24 11:20:22
DEL500698,ORD100728,2024-01-27 13:26:00,77,Delivered,2024-01-20 13:51:57
DEL501913,ORD101245,2024-02-05 13:54:00,136,Late,2024-02-07 15:24:57
DEL501215,ORD100551,2024-01-24 15:02:00,116,DELIVERED,2024-01-18 03:58:07
DEL500798,ORD101769,2024-02-20 12:54:00,135,Delivered,2024-02-16 11:01:49
DEL500342,ORD101785,2024-02-23 18:03:00,143,Complete,2024-02-18 01:56:38
DEL500408,ORD102321,2024-03-03 19:25:00,89,Late,2024-03-02 20:58:35
DEL500209,ORD101684,2024-02-24 10:26:00,142,Complete,2024-02-15 06:49:37
DEL500088,ORD102314,2024-03-01 08:15:00,135,DELIVERED,2024-02-29 22:18:02
DEL501766,ORD102086,2024-02-25 08:36:00,155,DELIVERED,2024-02-22 11:17:21
DEL500332,ORD102108,2024-02-28 19:34:00,192,Late,2024-02-28 05:39:53
DEL501406,ORD101949,2024-02-24 12:02:00,152,Complete,2024-02-28 10:29:27
DEL501219,ORD101969,2024-02-23 20:21:00,111,On Time,2024-02-25 03:25:54
DEL500669,ORD102296,2024-03-03 14:52:00,145,On Time,2024-02-29 11:50:49
DEL501944,ORD101264,2024-02-02 09:47:00,127,On Time,2024-02-04 09:12:05
DEL500279,ORD102274,2024-02-28 09:54:00,141,Complete,2024-03-05 09:44:18
DEL500362,ORD101488,2024-02-12 19:48:00,87,Complete,2024-02-12 06:10:12
DEL500899,ORD101523,2024-02-20 19:42:00,115,DELIVERED,2024-02-12 23:31:27
DEL501640,ORD101654,2024-02-17 13:30:00,88,On Time,2024-02-15 19:21:36
DEL501483,ORD100950,2024-01-27 12:56:00,86,On Time,2024-02-03 03:19:36
DEL500236,ORD101525,2024-02-21 15:24:00,95, delivered ,2024-02-09 23:50:13
DEL500519,ORD101298,2024-02-09 11:46:00,132,Late,2024-02-11 06:10:53
DEL500532,ORD100504,2024-01-18 09:42:00,138,On Time,2024-01-16 21:37:37
DEL501704,ORD100678,2024-01-20 18:08:00,121,Complete,2024-01-21 23:09:49
DEL501602,ORD101109,2024-02-03 10:02:00,169,Delivered,2024-02-05 03:12:30
DEL500889,ORD100282,2024-01-16 15:40:00,80,On Time,2024-01-10 06:40:46
DEL501977,ORDX1004,2024-02-24 09:28:18,110,Delivered,2024-02-23 20:13:29
DEL501245,ORD102214,2024-03-04 13:06:00,136,Late,2024-02-27 18:27:50
DEL500217,ORD101492,2024-02-16 20:40:00,183,DELIVERED,2024-02-13 21:07:50
DEL501302,ORD101350,2024-02-07 14:55:00,88,Delivered,2024-02-09 08:55:38
DEL501045,ORD102319,2024-03-07 10:22:00,149,Late,2024-03-07 00:51:05
DEL500496,ORD100577,2024-01-19 07:17:00,147,Late,2024-01-17 23:58:58
DEL500369,ORD102026,2024-02-22 20:45:00,99,Delivered,2024-03-01 00:25:24
DEL501458,ORD100252,2024-01-13 08:34:00,138,Late,2024-01-10 18:34:18
DEL501848,ORD100391,2024-01-21 09:23:00,41,Delivered,2024-01-17 04:11:31
DEL501584,ORD101045,2024-02-02 16:56:00,93,Late,2024-02-02 07:19:40
DEL500919,ORD100825,2024-01-27 11:19:00,130,Delivered,2024-01-30 03:07:55
DEL500605,ORD101322,2024-02-05 20:06:00,113,Late,2024-02-11 10:30:57
DEL501269,ORD100292,2024-01-12 16:27:00,145,DELIVERED,2024-01-11 23:47:37
DEL501518,ORD100835,2024-01-31 19:13:00,116,On Time,2024-01-27 12:06:13
DEL501093,ORD101129,2024-02-05 17:10:00,95,DELIVERED,2024-02-01 13:44:25
DEL500609,ORD101530,2024-02-14 08:36:00,113,DELIVERED,2024-02-17 13:23:09
DEL500467,ORD100322,2024-01-16 11:13:00,136,Complete,2024-01-10 14:14:52
DEL501431,ORD100772,2024-01-28 15:19:00,133,DELIVERED,2024-01-23 16:00:04
DEL501114,ORD101777,2024-02-15 18:57:00,63,Late,2024-02-24 09:16:02
DEL500686,ORD101373,2024-02-09 19:36:00,86,Complete,2024-02-06 06:05:47
DEL501523,ORD100540,2024-01-28 12:48:00,102,Delivered,2024-01-22 02:46:33
DEL501131,ORD102191,2024-02-27 07:11:00,69,On Time,2024-03-02 01:42:50
DEL501982,ORDX1009,2024-02-19 15:47:40,80,Complete,2024-03-02 00:42:26
DEL500319,ORD100996,2024-02-01 12:24:00,143,Delivered,2024-01-26 09:31:48
DEL500239,ORD101387,2024-02-07 11:39:00,117,DELIVERED,2024-02-09 23:53:28
DEL500307,ORD100857,2024-01-28 10:20:00,106,Complete,2024-01-25 14:37:25
DEL500246,ORD100615,2024-01-22 16:33:00,82,On Time,2024-01-20 17:57:46
DEL501433,ORD101812,2024-02-20 19:43:00,145,Late,2024-02-22 20:05:21
DEL501797,ORD101553,2024-02-16 20:11:00,59,Complete,2024-02-12 08:19:55
DEL500259,ORD100299,2024-01-12 20:43:00,174,ONTIME,2024-01-09 14:29:17
DEL501117,ORD102297,2024-03-03 18:46:00,149,DELIVERED,2024-03-03 14:42:35
DEL500728,ORD100104,2024-01-08 20:40:00,199,Late,2024-01-12 17:53:12
DEL500813,ORD101974,2024-02-23 12:44:00,118,DELIVERED,2024-02-25 01:35:36
DEL501542,ORD100506,2024-01-21 11:53:00,123,On Time,2024-01-19 10:11:17
DEL500875,ORD100085,2024-01-15 10:51:00,126,On Time,2024-01-13 17:17:48
DEL501832,ORD100406,2024-01-22 07:58:00,154,Late,2024-01-16 06:32:47
DEL501782,ORD101149,2024-02-05 10:26:00,124,On Time,2024-02-02 11:36:28
DEL500888,ORD100859,2024-01-26 16:09:00,198,Late,2024-01-27 12:53:26
DEL500865,ORD100321,2024-01-13 17:13:00,136,Delivered,2024-01-16 21:25:28
DEL501575,ORD100319,2024-01-13 13:29:00,131,Complete,2024-01-19 13:17:12
DEL500134,ORD100206,2024-01-15 19:47:00,127,Delivered,2024-01-11 07:20:38
DEL501321,ORD101894,2024-02-19 10:18:00,131,Complete,2024-02-17 15:21:40
DEL500819,ORD101650,2024-02-17 20:36:00,125,DELIVERED,2024-02-14 22:27:55
DEL500551,ORD102284,2024-02-29 07:20:00,89,DELIVERED,2024-02-28 14:56:21
DEL501239,ORD100186,2024-01-07 08:22:00,95,DELIVERED,2024-01-15 17:04:09
DEL501571,ORD101003,2024-01-30 15:23:00,154,DELIVERED,2024-01-30 23:48:45
DEL501481,ORD101915,2024-02-26 08:20:00,109,Late,2024-02-21 08:11:59
DEL500237,ORD100043,2024-01-08 19:54:00,111,Delivered,2024-01-12 04:19:29
DEL500031,ORD100040,2024-01-06 10:54:00,167,DELIVERED,2024-01-03 09:38:04
DEL500791,ORD101522,2024-02-18 20:10:00,173,On Time,2024-02-13 00:12:05
DEL500461,ORD100836,2024-01-25 07:56:00,74,DELIVERED,2024-01-26 22:51:18
DEL500940,ORD100620,2024-01-27 08:30:00,143,DELIVERED,2024-01-21 04:31:28
DEL500521,ORD100787,2024-01-26 16:44:00,154,On Time,2024-01-23 11:30:45
DEL501011,ORD100421,2024-01-15 13:08:00,59,Complete,2024-01-21 10:41:05
DEL500859,ORD101209,2024-02-04 13:35:00,135,Delivered,2024-02-06 03:23:00
DEL500994,ORD100994,2024-01-27 10:50:00,131,DELIVERED,2024-01-30 09:11:28
DEL501022,ORD100937,2024-02-02 11:11:00,164,DELIVERED,2024-01-30 22:44:39
DEL500449,ORD101655,2024-02-11 11:01:00,143,On Time,2024-02-19 21:16:50
DEL501285,ORD101661,2024-02-21 20:28:00,156,On Time,2024-02-17 14:55:28
DEL500403,ORD101344,2024-02-11 15:22:00,77,Delivered,2024-02-10 22:40:41
DEL500794,ORD101124,2024-02-07 16:53:00,54,DELIVERED,2024-02-07 13:57:29
DEL501106,ORD100817,2024-01-27 10:17:00,82,DELIVERED,2024-01-22 16:02:21
DEL500918,ORD102414,2024-03-07 19:38:00,91,Delivered,2024-03-03 18:31:48
DEL501823,ORD100423,2024-01-19 14:09:00,162,Late,2024-01-14 14:12:47
DEL501565,ORD100409,2024-01-19 14:55:00,101,DELIVERED,2024-01-16 07:36:08
DEL500861,ORD100684,2024-01-22 16:53:00,178,Delivered,2024-01-20 15:55:16
DEL500869,ORD101845,2024-02-21 14:48:00,116,DELIVERED,2024-02-25 07:52:37
DEL500729,ORD101833,2024-02-21 12:14:00,134,Complete,2024-02-23 21:26:26
DEL501293,ORD101187,2024-02-06 13:24:00,92,On Time,2024-02-05 08:17:58
DEL500047,ORD101317,2024-02-09 17:16:00,116,Late,2024-02-12 11:46:24
DEL501308,ORD101714,2024-02-23 07:09:00,101,On Time,2024-02-17 17:58:22
DEL501070,ORD100801,2024-01-25 10:37:00,193,completed,2024-01-23 19:24:02
DEL501581,ORD100794,2024-01-28 18:25:00,125,Delivered,2024-01-25 01:40:03
DEL501264,ORD101427,2024-02-07 12:57:00,79,DELIVERED,2024-02-13 13:04:09
DEL501297,ORD101198,2024-02-01 15:16:00,103,Delivered,2024-02-02 02:00:38
DEL501666,ORD100025,2024-01-15 14:36:00,124,Complete,2024-01-11 15:10:16
DEL501391,ORD100194,2024-01-08 08:08:00,113,Late,2024-01-16 00:51:22
DEL500466,ORD100205,2024-01-16 09:56:00,129,Delivered,2024-01-15 02:29:37
DEL501119,ORD101917,2024-02-22 19:15:00,128,DELIVERED,2024-02-18 14:50:01
DEL501339,ORD101993,2024-02-22 19:00:00,75,Delivered,2024-02-19 17:23:06
DEL501535,ORD100537,2024-01-20 17:18:00,118,DELIVERED,2024-01-24 14:34:12
DEL501230,ORD102088,2024-02-23 11:05:00,79,Late,2024-02-24 17:31:42
DEL501132,ORD101868,2024-02-17 17:20:00,148,DELIVERED,2024-02-19 00:48:29
DEL500269,ORD101875,2024-02-21 09:23:00,108,Late,2024-02-18 09:43:09
DEL500104,ORD100415,2024-01-19 12:11:00,-150,DELIVERED,2024-01-15 05:52:07
DEL500977,ORD100578,2024-01-22 20:54:00,132,Complete,2024-01-22 19:24:42
DEL500262,ORD100508,2024-01-16 13:27:00,33,Late,2024-01-20 18:57:23
DEL500494,ORD102027,2024-03-01 18:47:00,85,Delivered,2024-02-28 22:12:21
DEL501019,ORD101093,2024-02-05 17:55:00,140,Delivered,2024-02-03 02:47:42
DEL500468,ORD102325,2024-03-04 07:10:00,113,DELIVERED,2024-03-08 11:58:36
DEL500084,ORD100525,2024-01-19 18:57:00,153,Complete,2024-01-24 12:31:18
DEL500028,ORD100395,2024-01-18 19:49:00,129,Complete,2024-01-13 06:48:14
DEL501947,ORD100641,2024-01-20 18:25:00,117,DELIVERED,2024-01-20 05:32:02
DEL500260,ORD100944,2024-01-28 14:53:00,187,Late,2024-01-27 15:23:51
DEL500361,ORD100652,2024-01-26 09:05:00,55,On Time,2024-01-26 22:38:56
DEL501128,ORD101068,2024-02-02 17:33:00,182,Complete,2024-02-03 23:31:59
DEL501222,ORD100379,2024-01-15 09:33:00,164,On Time,2024-01-20 06:09:22
DEL500175,ORD100725,2024-01-25 17:32:00,115,Delivered,2024-01-22 10:38:09
DEL501646,ORD100152,2024-01-09 13:49:00,98,Complete,2024-01-14 17:41:02
DEL500390,ORD101531,2024-02-18 10:57:00,128,Late,2024-02-16 07:21:13
DEL501115,ORD101082,2024-01-31 17:11:00,110,Late,2024-02-04 19:25:16
DEL501426,ORD100892,2024-01-30 14:48:00,165,Late,2024-01-24 00:16:49
