order_id,plant_id,supplier_id,material_id,order_date,expected_delivery_date,quantity,status,updated_at
ORD100092,NJ01,SUP017,MAT0044,2024-01-03 11:34:27,2024-01-10,106,Created,2024-01-04 13:34:27
ORD100115,NJ02,SUP004,MAT0070,2024-01-03 16:51:59,2024-01-08,79,CREATED,2024-01-05 09:51:59
ORD101174,NJ01,SUP001,MAT0023,2024-01-29 16:59:00,2024-02-07,124,OPEN,2024-01-31 03:59:00
ORD101509,SH01,SUP006,MAT0042,2024-02-06 15:50:25,2024-02-12,98,CREATED,2024-02-06 20:50:25
ORD100828,NJ01,SUP007,MAT0044,2024-01-21 06:51:30,2024-01-31,97,OPEN,2024-01-23 04:51:30
ORD101359,NJ01,SUP009,MAT0025,2024-02-03 17:09:34,2024-02-08,190,CONFIRMED,2024-02-04 16:09:34
ORD101315,SH01,SUP015,MAT0030,2024-02-02 06:51:47,2024-02-09,152,Confirmed,2024-02-03 13:51:47
ORD101793,NJ01,SUP020,MAT0023,2024-02-13 07:22:31,2024-02-15,132,CREATED,2024-02-14 06:22:31
ORD100185,NJ01,SUP006,MAT0019,2024-01-05 10:58:21,2024-01-12,66,Confirmed,2024-01-07 04:58:21
ORD100726,NJ01,SUP012,MAT0020,2024-01-19 16:39:21,2024-01-21,138,CONFIRMED,2024-01-21 02:39:21
ORD102101,SH01,SUP017,MAT0037,2024-02-21 10:46:03,2024-02-26,178,CREATED,2024-02-22 10:46:03
ORD101356,NJ01,SUP020,MAT0071,2024-02-03 08:19:54,2024-02-08,93,CREATED,2024-02-04 21:19:54
ORD100288,NJ02,SUP012,MAT0072,2024-01-08 17:45:31,2024-01-15,95,CONFIRMED,2024-01-09 10:45:31
ORD101648,NJ01,SUP018,MAT0045,2024-02-10 12:34:03,2024-02-16,127,Created,2024-02-12 02:34:03
ORD101261,SH01,SUP018,MAT0028,2024-01-31 11:11:13,2024-02-02,207,OPEN,2024-02-02 07:11:13
ORD101081,NJ01,SUP003,MAT0071,2024-01-27 18:41:18,2024-02-03,83,Confirmed,2024-01-28 18:41:18
ORD100014,NJ01,SUP016,MAT0051,2024-01-01 09:58:36,2024-01-08,59,CONFIRMED,2024-01-02 14:58:36
ORD100395,NJ01,SUP009,MAT0029,2024-01-11 18:48:14,2024-01-17,141,Confirmed,2024-01-12 12:48:14
ORD100263,NJ02,SUP010,MAT0062,2024-01-07 16:01:31,2024-01-17,124,CREATED,2024-01-09 11:01:31
ORD100215,NJ01,SUP005,MAT0010,2024-01-06 18:31:12,2024-01-11,201,Open,2024-01-07 00:31:12
ORD102056,NJ01,SUP004,MAT0026,2024-02-20 08:39:19,2024-02-28,177,CONFIRMED,2024-02-21 04:39:19
ORD100123,NJ02,SUP014,MAT0064,2024-01-03 11:42:06,2024-01-07,196,Open,2024-01-05 05:42:06
ORD101130,SH01,SUP013,MAT0026,2024-01-28 16:28:44,2024-02-04,198,Open,2024-01-28 21:28:44
ORD100040,NJ02,SUP004,MAT0073,2024-01-01 07:38:04,2024-01-06,145,CREATED,2024-01-02 20:38:04
ORD102206,NJ02,SUP020,MAT0036,2024-02-24 15:03:00,2024-02-27,126,Open,2024-02-25 18:03:00
ORD100248,SH01,SUP009,MAT0032,2024-01-07 14:23:25,2024-01-14,66,Created,2024-01-07 15:23:25
ORD101836,SH01,SUP017,MAT0025,2024-02-14 15:56:50,2024-02-22,91,CREATED,2024-02-15 20:56:50
ORD100097,NJ02,SUP009,MAT0077,2024-01-03 13:13:22,2024-01-09,111,CONFIRMED,2024-01-04 06:13:22
ORD101670,NJ01,SUP020,MAT0061,2024-02-10 07:54:56,2024-02-20,85,CONFIRMED,2024-02-11 16:54:56
ORD100370,NJ01,SUP015,MAT0027,2024-01-10 14:11:43,2024-01-20,91,OPEN,2024-01-11 08:11:43
ORD100169,SH01,SUP011,MAT0003,2024-01-05 11:50:50,2024-01-10,131,CREATED,2024-01-06 03:50:50
ORD102056,NJ01,SUP004,MAT0026,2024-02-20 08:39:19,2024-02-28,177,CONFIRMED,2024-02-21 04:39:19
ORD101420,NJ02,SUP002,MAT0002,2024-02-04 08:26:57,2024-02-10,139,Open,2024-02-04 22:26:57
ORD101906,SH01,SUP004,MAT0012,2024-02-16 09:13:49,2024-02-24,164,CREATED,2024-02-17 17:13:49
ORD101225,SH01,SUP011,MAT0055,2024-01-30 15:02:29,2024-02-09,162,OPEN,2024-01-31 20:02:29
ORD102069,SH01,SUP003,MAT0024,2024-02-20 06:45:08,2024-02-25,30,Created,2024-02-22 03:45:08
ORD100445,NJ02,,MAT0043,2024-01-12 12:01:14,2024-01-22,116,Created,2024-01-14 12:01:14
ORD101401,NJ01,SUP011,MAT0007,2024-02-03 11:17:22,2024-02-11,114,CREATED,2024-02-03 13:17:22
ORD100676,NJ01,SUP007,MAT0064,2024-01-18 09:57:36,2024-01-24,141,CONFIRMED,2024-01-18 21:57:36
ORD101218,SH01,SUP019,MAT0063,2024-01-30 18:17:55,2024-02-03,93,CREATED,2024-02-01 16:17:55
ORD100132,NJ02,SUP017,MAT0035,2024-01-04 18:50:54,2024-01-12,174,Created,2024-01-05 12:50:54
ORD100777,NJ01,SUP009,MAT0050,2024-01-20 10:15:32,2024-01-26,118,Created,2024-01-21 21:15:32
ORD101170,NJ02,SUP003,MAT0051,2024-01-29 17:34:36,2024-02-01,127,CONFIRMED,2024-01-30 00:34:36
ORD102021,NJ02,SUP016,MAT0014,2024-02-19 09:08:33,2024-02-21,152,Created,2024-02-19 23:08:33
ORD101666,NJ01,SUP010,MAT0020,2024-02-10 15:01:10,2024-02-17,111,Confirmed,2024-02-10 16:01:10
ORD101317,SH01,SUP007,MAT0019,2024-02-02 07:46:24,2024-02-08,112,Confirmed,2024-02-03 19:46:24
ORD102015,SH01,SUP001,MAT0054,2024-02-19 17:58:17,2024-02-27,116,OPEN,2024-02-20 17:58:17
ORD101242,NJ02,SUP007,MAT0030,2024-01-31 08:12:04,2024-02-08,81,Open,2024-02-02 02:12:04
ORD101506,SH01,SUP013,MAT0025,2024-02-06 08:36:27,2024-02-11,182,Confirmed,2024-02-08 01:36:27
ORD100108,NJ01,SUP005,MAT0073,2024-01-03 12:31:04,2024-01-05,52,Open,2024-01-03 17:31:04
ORD100079,NJ02,SUP001,MAT0046,2024-01-03 17:01:54,2024-01-11,132,Open,2024-01-05 17:01:54
ORD102266,NJ01,SUP020,MAT0022,2024-02-25 12:54:15,2024-03-02,135,Open,2024-02-25 22:54:15
ORD101911,SH01,SUP013,MAT0061,2024-02-16 16:19:14,2024-02-19,45,Created,2024-02-17 09:19:14
ORD101863,NJ01,SUP017,MAT0039,2024-02-15 17:53:58,2024-02-18,80,Created,2024-02-16 06:53:58
ORD100425,NJ02,SUP018,MAT0023,2024-01-11 12:55:53,2024-01-19,122,OPEN,2024-01-11 16:55:53
ORD101726,NJ02,SUP012,MAT0062,2024-02-11 15:01:25,2024-02-16,195,Confirmed,2024-02-11 21:01:25
ORD100196,SH01,SUP015,MAT0047,2024-01-05 12:01:20,2024-01-09,132,Created,2024-01-06 15:01:20
ORD102261,NJ02,SUP005,MAT0013,2024-02-25 18:14:56,2024-03-01,134,CONFIRMED,2024-02-27 04:14:56
ORD102375,SH01,SUP018,MAT0012,2024-02-28 14:35:05,2024-03-06,119,Open,2024-02-29 06:35:05
ORD100211,NJ02,SUP003,MAT0075,2024-01-06 12:18:16,2024-01-10,92,CONFIRMED,2024-01-06 21:18:16
ORD102398,SH01,SUP010,MAT0022,2024-02-29 07:09:44,2024-03-08,99,Confirmed,2024-03-01 19:09:44
ORD100177,NJ02,SUP014,MAT0013,2024-01-05 09:26:21,2024-01-14,89,Open,2024-01-06 12:26:21
ORD100771,SH01,SUP020,MAT0035,2024-01-20 08:03:18,2024-01-25,135,Created,2024-01-21 13:03:18
ORD100144,NJ01,SUP006,MAT0011,2024-01-04 14:26:36,2024-01-08,73,Confirmed,2024-01-05 14:26:36
ORD100393,SH01,SUP017,MAT0064,2024-01-11 13:08:12,2024-01-19,121,OPEN,2024-01-13 08:08:12
ORD102236,NJ02,SUP017,MAT0053,2024-02-25 17:53:47,2024-03-04,180,CREATED,2024-02-27 01:53:47
ORD100240,NJ02,SUP017,MAT0035,2024-01-07 08:31:44,2024-01-16,103,Created,2024-01-09 06:31:44
ORD101853,SH01,SUP017,MAT0067,2024-02-15 15:00:16,2024-02-22,175,OPEN,2024-02-16 21:00:16
ORD101834,SH01,SUP019,MAT0053,2024-02-14 15:39:32,2024-02-17,112,Created,2024-02-15 11:39:32
ORD101955,NJ01,SUP020,MAT0014,2024-02-17 14:55:59,2024-02-25,114,Confirmed,2024-02-19 07:55:59
ORD102095,NJ02,SUP019,MAT0061,2024-02-21 15:39:15,2024-02-26,172,Created,2024-02-22 11:39:15
ORD102404,NJ02,SUP010,MAT0053,2024-02-29 06:42:05,2024-03-09,136,Open,2024-03-01 00:42:05
ORD102432,SH01,SUP002,MAT0015,2024-02-29 14:53:16,2024-03-06,119,CREATED,2024-03-01 09:53:16
ORD100690,NJ02,SUP004,MAT0021,2024-01-18 14:54:36,2024-01-20,181,Created,2024-01-19 03:54:36
ORD100754,SH01,SUP010,MAT0005,2024-01-20 13:52:57,2024-01-23,154,CONFIRMED,2024-01-22 01:52:57
ORD100623,NJ02,SUP012,MAT0040,2024-01-17 11:56:30,2024-01-26,74,OPEN,2024-01-18 22:56:30
ORD102135,NJ02,SUP009,MAT0003,2024-02-22 17:15:29,2024-03-03,70,CONFIRMED,2024-02-24 05:15:29
ORD102276,NJ01,SUP008,MAT0060,2024-02-26 18:54:19,2024-03-04,117,CREATED,2024-02-28 15:54:19
ORD102175,SH01,SUP006,MAT0026,2024-02-23 07:01:10,2024-02-26,98,OPEN,2024-02-25 01:01:10
ORD100515,NJ01,SUP016,MAT0076,2024-01-14 09:23:31,2024-01-23,129,Confirmed,2024-01-15 07:23:31
ORD101485,NJ02,SUP009,MAT0023,2024-02-06 09:55:01,2024-02-14,162,Created,2024-02-06 18:55:01
ORD101998,NJ01,SUP004,MAT0064,2024-02-18 16:11:37,2024-02-28,-159,CREATED,2024-02-20 06:11:37
ORD101421,NJ01,SUP018,MAT0075,2024-02-04 17:17:11,2024-02-10,58,Created,2024-02-06 15:17:11
ORD100898,SH01,SUP013,MAT0014,2024-01-23 12:42:12,2024-01-29,157,CONFIRMED,2024-01-25 08:42:12
ORD101275,NJ01,SUP005,MAT0048,2024-02-01 12:48:15,2024-02-04,120,OPEN,2024-02-02 06:48:15
ORD100619,NJ01,SUP010,MAT0080,2024-01-17 08:42:41,2024-01-22,62,Created,2024-01-17 20:42:41
ORD101912,NJ01,SUP005,MAT0032,2024-02-16 17:41:57,2024-02-23,229,CREATED,2024-02-18 05:41:57
ORD102370,SH01,SUP001,MAT0026,2024-02-28 10:20:16,2024-03-04,117,OPEN,2024-02-29 04:20:16
ORD100796,NJ01,SUP006,MAT0075,2024-01-21 16:28:05,2024-01-31,129,CONFIRMED,2024-01-23 02:28:05
ORD100284,SH01,SUP002,MAT0018,2024-01-08 09:26:32,2024-01-17,102,Confirmed,2024-01-08 22:26:32
ORD100023,NJ01,SUP002,MAT0031,2024-01-01 07:59:23,2024-01-07,70,Confirmed,2024-01-01 12:59:23
ORD101319,NJ01,SUP015,MAT0015,2024-02-02 16:35:55,2024-02-11,56,OPEN,2024-02-04 10:35:55
ORD101730,NJ01,SUP011,MAT0073,2024-02-11 17:21:53,2024-02-15,121,Confirmed,2024-02-12 19:21:53
ORD100525,NJ02,SUP013,MAT0050,2024-01-14 16:31:18,2024-01-20,155,CONFIRMED,2024-01-14 18:31:18
ORD100199,NJ02,SUP005,MAT0031,2024-01-05 09:57:49,2024-01-12,156,Created,2024-01-05 18:57:49
ORD101830,SH01,SUP018,MAT0069,2024-02-14 16:48:40,2024-02-21,147,OPEN,2024-02-15 06:48:40
ORD102097,NJ01,SUP015,MAT0050,2024-02-21 13:29:38,2024-02-27,91,confirmed,2024-02-22 06:29:38
ORD102314,NJ01,SUP010,MAT0018,2024-02-27 12:18:02,2024-03-01,114,CONFIRMED,2024-02-28 04:18:02
ORD101217,NJ01,SUP011,MAT0032,2024-01-30 09:54:34,2024-02-05,121,Created,2024-02-01 01:54:34
ORD100036,NJ01,SUP013,MAT0001,2024-01-01 09:55:25,2024-01-03,127,In Progress,2024-01-02 01:55:25
ORD101743,NJ02,SUP014,MAT0075,2024-02-12 06:59:12,2024-02-18,122,CONFIRMED,2024-02-13 01:59:12
ORD100649,SH01,SUP014,MAT0048,2024-01-17 18:43:41,2024-01-25,123,Created,2024-01-19 14:43:41
ORD101302,SH01,SUP014,MAT0022,2024-02-01 14:26:41,2024-02-07,172,CREATED,2024-02-02 13:26:41
ORD100256,NJ02,SUP015,MAT0067,2024-01-07 08:20:41,2024-01-10,6,Open,2024-01-07 16:20:41
ORD102390,NJ02,SUP010,MAT0022,2024-02-29 09:20:23,2024-03-02,92,Confirmed,2024-03-01 09:20:23
ORD102345,NJ01,SUP010,MAT0033,2024-02-28 06:04:36,2024-03-02,100,CREATED,2024-03-01 06:04:36
ORD100232,SH01,SUP001,MAT0050,2024-01-06 14:34:32,2024-01-16,126,OPEN,2024-01-06 16:34:32
ORD101451,NJ01,SUP001,MAT0073,2024-02-04 11:09:05,2024-02-09,152,OPEN,2024-02-04 20:09:05
ORD102372,NJ01,SUP018,MAT0062,2024-02-28 06:14:47,2024-03-09,108,confirmed,2024-02-29 23:14:47
ORD100269,NJ02,SUP017,MAT0060,2024-01-08 11:12:48,2024-01-12,126,OPEN,2024-01-09 06:12:48
ORD100520,NJ02,SUP017,MAT0080,2024-01-14 13:16:13,2024-01-23,77,OPEN,2024-01-16 02:16:13
ORD101854,SH01,SUP005,MAT0076,2024-02-15 15:57:10,2024-02-22,139,Confirmed,2024-02-16 11:57:10
ORD101259,SH01,,MAT0023,2024-01-31 08:10:53,2024-02-02,44,Open,2024-01-31 15:10:53
ORD102187,NJ02,SUP020,MAT0004,2024-02-23 10:31:49,2024-02-26,144,OPEN,2024-02-23 14:31:49
ORD102342,NJ02,SUP005,MAT0003,2024-02-27 10:10:30,2024-03-03,127,CREATED,2024-02-29 03:10:30
ORD101717,NJ02,SUP016,MAT0006,2024-02-11 18:33:06,2024-02-21,153,CREATED,2024-02-12 12:33:06
ORD102028,NJ01,SUP018,MAT0041,2024-02-19 14:18:35,2024-02-23,141,Created,2024-02-19 21:18:35
ORD100415,SH01,SUP005,MAT0062,2024-01-11 11:52:07,2024-01-19,167,Created,2024-01-12 01:52:07
ORD101656,NJ02,SUP001,MAT0057,2024-02-10 10:54:11,2024-02-19,187,Created,2024-02-11 15:54:11
ORD101505,NJ02,SUP017,MAT0077,2024-02-06 06:00:01,2024-02-10,119,Open,2024-02-07 03:00:01
ORD101716,SH01,SUP008,MAT0002,2024-02-11 11:26:13,2024-02-21,115,Created,2024-02-11 12:26:13
ORD101780,NJ02,SUP010,MAT0021,2024-02-13 16:57:06,2024-02-17,112,OPEN,2024-02-15 02:57:06
ORD101952,NJ02,SUP003,MAT0002,2024-02-17 11:26:42,2024-02-23,114,Created,2024-02-19 08:26:42
ORD100362,SH01,SUP018,MAT0032,2024-01-10 10:26:24,2024-01-13,137,Confirmed,2024-01-11 19:26:24
ORD100695,SH01,SUP011,MAT0054,2024-01-18 16:09:55,2024-01-22,100,CONFIRMED,2024-01-20 07:09:55
ORD101223,NJ02,SUP019,MAT0021,2024-01-30 12:13:19,2024-02-07,50,Open,2024-01-31 04:13:19
ORD101781,SH01,SUP015,MAT0076,2024-02-13 08:48:01,2024-02-22,97,Confirmed,2024-02-15 04:48:01
ORD100187,NJ02,SUP011,MAT0073,2024-01-05 13:21:10,2024-01-12,149,Confirmed,2024-01-05 18:21:10
ORD101671,NJ01,SUP019,MAT0038,2024-02-10 14:28:20,2024-02-16,158,CREATED,2024-02-11 11:28:20
ORD100930,NJ02,SUP002,MAT0006,2024-01-23 15:09:58,2024-01-25,76,OPEN,2024-01-25 13:09:58
ORD100173,NJ02,SUP015,MAT0010,2024-01-05 12:27:43,2024-01-08,170,Created,2024-01-06 08:27:43
ORD102237,NJ01,SUP003,MAT0077,2024-02-25 13:08:51,2024-02-27,154,Open,2024-02-26 08:08:51
ORD100198,NJ01,SUP017,MAT0015,2024-01-05 11:14:21,2024-01-09,157,Confirmed,2024-01-06 19:14:21
ORD100145,SH01,SUP005,MAT0030,2024-01-04 15:43:15,2024-01-13,138,OPEN,2024-01-06 07:43:15
ORD102400,NJ02,SUP017,MAT0056,2024-02-29 12:48:45,2024-03-04,137,CREATED,2024-02-29 18:48:45
ORD100509,NJ01,SUP010,MAT0057,2024-01-13 17:43:06,2024-01-18,139,Open,2024-01-14 10:43:06
ORD101540,NJ02,SUP020,MAT0014,2024-02-07 13:31:54,2024-02-10,63,Created,2024-02-08 03:31:54
ORD100531,NJ01,SUP017,MAT0016,2024-01-14 15:39:04,2024-01-23,33,CONFIRMED,2024-01-15 15:39:04
ORD101630,NJ02,SUP005,MAT0035,2024-02-09 15:59:05,2024-02-19,149,CONFIRMED,2024-02-09 17:59:05
ORD101691,SH01,SUP009,MAT0019,2024-02-11 18:06:59,2024-02-16,107,Created,2024-02-12 07:06:59
ORD100258,NJ01,SUP011,MAT0029,2024-01-07 14:09:19,2024-01-11,111,created ,2024-01-08 23:09:19
ORD101776,NJ01,SUP017,MAT0027,2024-02-13 14:35:53,2024-02-19,112,Open,2024-02-14 03:35:53
ORD100481,NJ01,SUP012,MAT0041,2024-01-13 08:21:47,2024-01-16,89,CREATED,2024-01-15 00:21:47
ORD101753,SH01,SUP004,MAT0072,2024-02-12 13:44:50,2024-02-18,127,OPEN,2024-02-14 06:44:50
ORD102251,NJ01,SUP005,MAT0026,2024-02-25 17:28:46,2024-03-02,228,Created,2024-02-27 08:28:46
ORD100670,SH01,SUP009,MAT0069,2024-01-18 14:18:21,2024-01-21,106,Confirmed,2024-01-19 06:18:21
ORD100375,SH01,SUP013,MAT0043,2024-01-10 16:22:10,2024-01-12,93,OPEN,2024-01-10 22:22:10
ORD100302,NJ02,SUP011,MAT0032,2024-01-08 16:06:11,2024-01-12,112,Created,2024-01-09 08:06:11
ORD100832,NJ01,SUP019,MAT0040,2024-01-21 18:42:47,2024-01-27,97,CONFIRMED,2024-01-22 07:42:47
ORD101461,NJ02,SUP007,MAT0071,2024-02-05 07:04:13,2024-02-07,190,CREATED,2024-02-06 23:04:13
ORD101956,NJ01,SUP012,MAT0075,2024-02-17 07:36:06,2024-02-20,92,CONFIRMED,2024-02-19 04:36:06
ORD101364,NJ01,SUP006,MAT0068,2024-02-03 12:14:24,2024-02-06,85,CONFIRMED,2024-02-04 07:14:24
ORD100941,SH01,SUP008,MAT0042,2024-01-24 16:30:47,2024-01-29,116,Open,2024-01-25 09:30:47
ORD101606,NJ02,SUP017,MAT0065,2024-02-09 13:17:00,2024-02-13,82,CREATED,2024-02-10 11:17:00
ORD100206,SH01,SUP005,MAT0008,2024-01-06 09:20:38,2024-01-15,159,OPEN,2024-01-06 15:20:38
ORD101331,SH01,SUP019,MAT0062,2024-02-02 14:44:07,2024-02-08,85,CONFIRMED,2024-02-03 03:44:07
ORD100447,NJ01,SUP002,MAT0030,2024-01-12 13:03:09,2024-01-18,100,Confirmed,2024-01-13 15:03:09
ORD101490,NJ01,SUP019,MAT0079,2024-02-06 18:57:38,2024-02-11,158,CREATED,2024-02-07 14:57:38
ORD100841,SH01,SUP015,MAT0061,2024-01-21 13:06:29,2024-01-27,66,CREATED,2024-01-22 03:06:29
ORD100075,SH01,SUP008,MAT0036,2024-01-03 18:49:33,2024-01-12,109,OPEN,2024-01-03 22:49:33
ORD100867,SH01,SUP002,MAT0044,2024-01-22 14:51:37,2024-01-28,140,Confirmed,2024-01-22 14:51:37
ORD100100,NJ02,SUP019,MAT0048,2024-01-03 10:14:25,2024-01-08,108,OPEN,2024-01-04 21:14:25
ORD101411,SH01,SUP005,MAT0038,2024-02-04 18:01:10,2024-02-10,97,Created,2024-02-06 06:01:10
ORD100855,NJ02,SUP002,MAT0048,2024-01-22 15:32:25,2024-01-26,101,Confirmed,2024-01-22 18:32:25
ORD100710,SH01,SUP013,MAT0049,2024-01-19 12:25:15,2024-01-23,101, open,2024-01-20 04:25:15
ORD102415,NJ01,SUP001,MAT0024,2024-02-29 18:35:46,2024-03-10,71,CREATED,2024-02-29 19:35:46
ORD101704,NJ02,SUP008,MAT0038,2024-02-11 11:30:33,2024-02-15,87,CONFIRMED,2024-02-12 18:30:33
ORD101991,NJ01,SUP012,MAT0011,2024-02-18 08:16:25,2024-02-23,119,Open,2024-02-19 12:16:25
ORD100141,NJ01,SUP003,MAT0056,2024-01-04 16:43:58,2024-01-10,129,Created,2024-01-06 16:43:58
ORD101036,NJ01,SUP003,MAT0041,2024-01-26 17:31:50,2024-01-28,20,Confirmed,2024-01-27 12:31:50
ORD101156,NJ01,SUP018,MAT0078,2024-01-29 17:53:56,2024-02-07,85,Open,2024-01-30 18:53:56
ORD100895,SH01,SUP016,MAT0016,2024-01-22 14:14:00,2024-01-30,141,Confirmed,2024-01-24 00:14:00
ORD101928,NJ01,SUP006,MAT0051,2024-02-17 06:09:40,2024-02-19,-119,Open,2024-02-17 06:09:40
ORD101544,SH01,SUP015,MAT0016,2024-02-07 17:10:59,2024-02-11,127,CREATED,2024-02-08 13:10:59
ORD100870,SH01,SUP010,MAT0080,2024-01-22 13:37:10,2024-01-24,137,Created,2024-01-23 07:37:10
ORD101703,SH01,SUP013,MAT0075,2024-02-11 08:02:26,2024-02-17,160,CREATED,2024-02-13 00:02:26
ORD100149,NJ01,SUP013,MAT0036,2024-01-04 15:18:44,2024-01-10,96,Created,2024-01-06 03:18:44
ORD100872,NJ01,SUP004,MAT0078,2024-01-22 10:17:54,2024-01-28,160,CREATED,2024-01-23 23:17:54
ORD101789,NJ01,SUP016,MAT0021,2024-02-13 14:54:49,2024-02-20,128,Open,2024-02-13 20:54:49
ORD101824,NJ02,SUP015,MAT0004,2024-02-14 11:19:18,2024-02-21,159,CREATED,2024-02-16 02:19:18
ORD101893,SH01,SUP011,MAT0069,2024-02-16 06:36:27,2024-02-18,158,OPEN,2024-02-17 00:36:27
ORD101477,SH01,SUP015,MAT0034,2024-02-06 11:05:43,2024-02-14,94,CONFIRMED,2024-02-06 13:05:43
ORD102006,SH01,SUP002,MAT0068,2024-02-18 12:19:31,2024-02-24,109,Created,2024-02-19 00:19:31
ORD100328,NJ01,SUP011,MAT0011,2024-01-09 08:24:15,2024-01-15,91,OPEN,2024-01-10 07:24:15
ORD100058,NJ02,SUP017,MAT0052,2024-01-02 10:55:04,2024-01-08,154,CONFIRMED,2024-01-03 20:55:04
ORD100748,NJ02,SUP015,MAT0058,2024-01-20 12:49:35,2024-01-26,181,OPEN,2024-01-20 12:49:35
ORD100392,NJ02,,MAT0007,2024-01-10 10:08:11,2024-01-17,99,Open,2024-01-10 10:08:11
ORD101859,SH01,SUP004,MAT0043,2024-02-15 11:42:02,2024-02-23,132,Confirmed,2024-02-15 15:42:02
ORD101571,NJ01,SUP009,MAT0067,2024-02-08 11:57:33,2024-02-17,131,CONFIRMED,2024-02-10 03:57:33
ORD100310,SH01,SUP015,MAT0015,2024-01-09 14:09:10,2024-01-16,131,CONFIRMED,2024-01-10 03:09:10
ORD100715,SH01,SUP015,MAT0002,2024-01-19 07:18:17,2024-01-23,60,CREATED,2024-01-19 12:18:17
ORD100567,NJ02,SUP001,MAT0014,2024-01-15 13:28:20,2024-01-18,105,OPEN,2024-01-16 15:28:20
ORD100458,NJ02,SUP012,MAT0011,2024-01-12 18:14:08,2024-01-17,99,Confirmed,2024-01-14 07:14:08
ORD100133,NJ01,SUP015,MAT0069,2024-01-04 17:19:53,2024-01-13,92,OPEN,2024-01-05 15:19:53
ORD100374,SH01,SUP003,MAT0014,2024-01-10 18:23:44,2024-01-20,101,CREATED,2024-01-12 12:23:44
ORD100018,SH01,SUP009,MAT0071,2024-01-01 12:24:38,2024-01-10,88,Created,2024-01-03 07:24:38
ORD100542,SH01,SUP017,MAT0022,2024-01-15 08:13:46,2024-01-17,102,Created,2024-01-16 07:13:46
ORD102389,NJ01,SUP014,MAT0020,2024-02-29 12:24:36,2024-03-03,111,Open,2024-03-01 20:24:36
ORD101907,NJ01,SUP007,MAT0016,2024-02-16 15:46:33,2024-02-19,88,OPEN,2024-02-18 14:46:33
ORD102387,NJ01,SUP009,MAT0032,2024-02-29 06:02:38,2024-03-02,129,OPEN,2024-03-01 04:02:38
ORD101909,NJ01,SUP015,MAT0003,2024-02-16 11:30:16,2024-02-26,99,Created,2024-02-17 11:30:16
ORD100617,NJ02,SUP018,MAT0010,2024-01-17 06:54:48,2024-01-27,105,Open,2024-01-19 00:54:48
ORD102092,NJ01,SUP015,MAT0048,2024-02-21 11:36:30,2024-02-24,126,OPEN,2024-02-22 02:36:30
ORD100491,NJ02,SUP003,MAT0038,2024-01-13 08:03:23,2024-01-15,139,CONFIRMED,2024-01-15 00:03:23
